Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
CCL220826C00017000,2022-08-15 2:14PM EDT,17,0.02,0.02,0.03,0,-,290,450,121.88%
CCL220826C00017500,2022-08-15 2:08PM EDT,17.5,0.02,0.02,0.03,0,-,569,696,128.13%
CCL220826C00018000,2022-08-16 12:36PM EDT,18,0.02,0.02,0.03,0,-,6,63,134.38%
CCL220826C00019000,2022-08-12 3:35PM EDT,19,0.02,0.01,0.03,0,-,-,64,142.19%
"PutsforAugust 26, 2022",,,,,,,,,,
Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
CCL220826P00003000,2022-07-22 2:50PM EDT,3,0.04,0,0.03,0,-,1,1,337.50%
CCL220826P00003500,2022-07-20 12:02PM EDT,3.5,0.03,0,0.03,0,-,1,2,300.00%
CCL220826P00004000,2022-08-04 10:47AM EDT,4,0.02,0,0.03,0,-,5,584,268.75%
CCL220826P00004500,2022-08-02 9:50AM EDT,4.5,0.02,0,0.03,0,-,11,112,240.63%
CCL220826P00005000,2022-08-09 1:29PM EDT,5,0.02,0,0.03,0,-,1,365,212.50%
CCL220826P00005500,2022-08-15 1:09PM EDT,5.5,0.01,0,0.02,0,-,92,"2,041",181.25%
CCL220826P00006000,2022-08-12 9:31AM EDT,6,0.02,0,0.03,0,-,9,318,168.75%
CCL220826P00006500,2022-08-16 12:43PM EDT,6.5,0.01,0.01,0.03,0,-,1,634,156.25%
CCL220826P00007000,2022-08-15 3:17PM EDT,7,0.01,0.01,0.02,0,-,15,558,131.25%
CCL220826P00007500,2022-08-15 1:10PM EDT,7.5,0.01,0.01,0.02,-0.01,-50.00%,2,631,114.06%
CCL220826P00008000,2022-08-16 1:17PM EDT,8,0.02,0.02,0.03,-0.01,-33.33%,30,591,106.25%
CCL220826P00008500,2022-08-16 12:22PM EDT,8.5,0.03,0.02,0.03,-0.02,-40.00%,59,"1,762",90.63%
CCL220826P00009000,2022-08-16 1:14PM EDT,9,0.05,0.04,0.05,-0.03,-37.50%,89,"1,102",84.38%
CCL220826P00009500,2022-08-16 12:34PM EDT,9.5,0.08,0.08,0.09,-0.05,-38.46%,210,"1,330",79.69%
CCL220826P00010000,2022-08-16 1:09PM EDT,10,0.14,0.13,0.15,-0.1,-41.67%,811,"21,015",72.66%
CCL220826P00010500,2022-08-16 1:08PM EDT,10.5,0.28,0.26,0.27,-0.13,-31.71%,568,808,71.29%
CCL220826P00011000,2022-08-16 1:17PM EDT,11,0.46,0.46,0.47,-0.23,-33.33%,316,174,71.09%
CCL220826P00011500,2022-08-16 1:13PM EDT,11.5,0.76,0.75,0.77,-0.27,-26.21%,38,108,73.83%
CCL220826P00012000,2022-08-16 12:40PM EDT,12,1.17,1.11,1.13,-0.3,-20.41%,8,263,77.15%
CCL220826P00012500,2022-08-15 3:38PM EDT,12.5,1.86,1.51,1.66,0,-,14,33,90.23%
CCL220826P00013000,2022-08-08 10:36AM EDT,13,2.7,1.94,2.14,0,-,4,6,98.44%
CCL220826P00013500,2022-07-25 12:47PM EDT,13.5,4.41,2.41,2.61,0,-,-,3,106.64%
CCL220826P00014000,2022-08-16 12:27PM EDT,14,3,2.92,3.1,-0.31,-9.37%,70,10,119.14%
CCL220826P00014500,2022-08-04 10:18AM EDT,14.5,4.65,3.35,3.6,0,-,5,6,123.05%
CCL220826P00015000,2022-08-15 10:45AM EDT,15,4.4,3.85,4.1,0,-,1,4,133.59%
CCL220826P00016000,2022-08-15 10:12AM EDT,16,5.4,4.85,5.1,0,-,1,27,153.52%
CCL220826P00017000,2022-08-04 9:30AM EDT,17,6.98,5.8,6.1,0,-,2,3,164.06%
CCL220826P00018000,2022-08-08 11:19AM EDT,18,7.55,6.8,7.1,0,-,5,0,179.69%
