Last Trade Date,Contract Name,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
2022-07-22 2:50PM EDT,CCL220826P00003000,3,0.04,0,0.03,0,-,1,1,393.75%
2022-07-20 12:02PM EDT,CCL220826P00003500,3.5,0.03,0,0.03,0,-,1,2,343.75%
2022-08-04 10:47AM EDT,CCL220826P00004000,4,0.02,0,0.03,0,-,5,584,306.25%
2022-08-02 9:50AM EDT,CCL220826P00004500,4.5,0.02,0,0.03,0,-,11,112,268.75%
2022-08-18 10:57AM EDT,CCL220826P00005000,5,0.01,0,0.02,0,-,5,361,218.75%
2022-08-15 1:09PM EDT,CCL220826P00005500,5.5,0.01,0,0.02,0,-,92,"2,041",193.75%
2022-08-12 9:31AM EDT,CCL220826P00006000,6,0.02,0,0.02,0,-,9,318,168.75%
2022-08-16 1:46PM EDT,CCL220826P00006500,6.5,0.01,0,0.03,0,-,27,638,153.13%
2022-08-18 10:56AM EDT,CCL220826P00007000,7,0.01,0,0.02,0,-,258,742,118.75%
2022-08-19 3:49PM EDT,CCL220826P00007500,7.5,0.02,0,0.02,0.01,100.00%,366,681,98.44%
2022-08-19 3:51PM EDT,CCL220826P00008000,8,0.03,0.02,0.03,0.01,50.00%,123,839,93.75%
2022-08-19 3:58PM EDT,CCL220826P00008500,8.5,0.04,0.04,0.05,0.01,33.33%,219,"1,766",81.25%
2022-08-19 3:59PM EDT,CCL220826P00009000,9,0.08,0.08,0.1,0.03,60.00%,"1,117","1,331",71.88%
2022-08-19 3:58PM EDT,CCL220826P00009500,9.5,0.2,0.19,0.2,0.09,81.82%,"4,774","1,766",65.23%
2022-08-19 3:58PM EDT,CCL220826P00010000,10,0.42,0.41,0.44,0.2,90.91%,"2,448","21,684",64.84%
2022-08-19 3:55PM EDT,CCL220826P00010500,10.5,0.76,0.75,0.78,0.31,68.89%,538,"1,520",65.23%
2022-08-19 3:57PM EDT,CCL220826P00011000,11,1.17,1.17,1.24,0.42,56.00%,540,986,72.66%
2022-08-19 10:21AM EDT,CCL220826P00011500,11.5,1.65,1.61,1.74,0.52,46.02%,130,256,79.69%
2022-08-19 2:55PM EDT,CCL220826P00012000,12,2.13,2.11,2.22,0.37,21.02%,37,274,90.63%
2022-08-19 3:30PM EDT,CCL220826P00012500,12.5,2.65,2.58,2.71,0.5,23.26%,30,38,89.06%
2022-08-08 10:36AM EDT,CCL220826P00013000,13,2.7,3.05,3.2,0,-,4,6,136.72%
2022-08-19 12:52PM EDT,CCL220826P00013500,13.5,3.68,3.55,3.7,-0.73,-16.55%,5,3,150.78%
2022-08-19 3:10PM EDT,CCL220826P00014000,14,4.17,4.1,4.2,0.52,14.25%,145,88,128.13%
2022-08-19 12:55PM EDT,CCL220826P00014500,14.5,4.68,4.55,4.7,0.03,0.65%,2,6,175.00%
2022-08-18 10:48AM EDT,CCL220826P00015000,15,4.6,5.05,5.25,0,-,4,5,150.00%
2022-08-15 10:12AM EDT,CCL220826P00016000,16,5.4,6.05,6.25,0,-,1,27,168.75%
2022-08-04 9:30AM EDT,CCL220826P00017000,17,6.98,7.05,7.25,0,-,2,3,184.38%
2022-08-08 11:19AM EDT,CCL220826P00018000,18,7.55,8.05,8.2,0,-,5,0,245.31%
