Last Trade Date,Contract Name,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
2022-08-19 3:51PM EDT,CCL220902P00010500,10.5,0.9,0.88,0.93,0.31,52.54%,171,308,66.80%
2022-08-19 3:05PM EDT,CCL220902P00011000,11,1.3,1.25,1.34,0.34,35.42%,40,144,68.36%
2022-08-19 2:50PM EDT,CCL220902P00011500,11.5,1.7,1.66,1.8,0.37,27.82%,54,190,70.70%
2022-08-19 3:30PM EDT,CCL220902P00012000,12,2.2,2.12,2.25,0.37,20.22%,10,17,71.09%
2022-08-19 2:19PM EDT,CCL220902P00012500,12.5,2.72,2.65,2.72,0.53,24.20%,5,19,82.03%
2022-08-17 12:36PM EDT,CCL220902P00013000,13,2.49,3.05,3.25,0,-,3,21,75.00%
2022-08-19 3:19PM EDT,CCL220902P00013500,13.5,3.66,3.6,3.75,0.66,22.00%,20,7,96.88%
2022-08-10 11:27AM EDT,CCL220902P00014000,14,3.55,4.05,4.2,0,-,-,1,115.63%
2022-08-18 1:33PM EDT,CCL220902P00014500,14.5,4.2,4.55,4.75,0,-,1,2,98.44%
2022-07-25 11:07AM EDT,CCL220902P00015000,15,6,5.05,5.2,0,-,-,1,132.03%
2022-08-03 10:39AM EDT,CCL220902P00015500,15.5,5.9,5.55,5.7,0,-,1,1,139.84%
2022-08-12 10:10AM EDT,CCL220902P00017000,17,6.3,7.05,7.2,0,-,-,1,160.94%
2022-07-25 10:35AM EDT,CCL220902P00018000,18,8.96,8.05,8.2,0,-,-,0,173.44%
