Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
CCL220826P00004000,2022-08-04 10:47AM EDT, 4.00 , 0.02 , -   , 0.03 , -   ,-, 5.00 , 584.00 ,268.75%
CCL220826P00004500,2022-08-02 9:50AM EDT, 4.50 , 0.02 , -   , 0.03 , -   ,-, 11.00 , 112.00 ,240.63%
CCL220826P00005000,2022-08-09 1:29PM EDT, 5.00 , 0.02 , -   , 0.03 , -   ,-, 1.00 , 365.00 ,212.50%
CCL220826P00005500,2022-08-15 1:09PM EDT, 5.50 , 0.01 , -   , 0.02 , -   ,-, 92.00 ," 2,041.00 ",181.25%
CCL220826P00006000,2022-08-12 9:31AM EDT, 6.00 , 0.02 , -   , 0.03 , -   ,-, 9.00 , 318.00 ,168.75%
CCL220826P00006500,2022-08-16 12:43PM EDT, 6.50 , 0.01 , 0.01 , 0.03 , -   ,-, 1.00 , 634.00 ,156.25%
CCL220826P00007000,2022-08-15 3:17PM EDT, 7.00 , 0.01 , 0.01 , 0.02 , -   ,-, 15.00 , 558.00 ,131.25%
CCL220826P00007500,2022-08-15 1:10PM EDT, 7.50 , 0.01 , 0.01 , 0.02 , (0.01),-50.00%, 2.00 , 631.00 ,114.06%
CCL220826P00008000,2022-08-16 1:17PM EDT, 8.00 , 0.02 , 0.02 , 0.03 , (0.01),-33.33%, 30.00 , 591.00 ,106.25%
CCL220826P00008500,2022-08-16 12:22PM EDT, 8.50 , 0.03 , 0.02 , 0.03 , (0.02),-40.00%, 59.00 ," 1,762.00 ",90.63%
CCL220826P00009000,2022-08-16 1:14PM EDT, 9.00 , 0.05 , 0.04 , 0.05 , (0.03),-37.50%, 89.00 ," 1,102.00 ",84.38%
CCL220826P00009500,2022-08-16 12:34PM EDT, 9.50 , 0.08 , 0.08 , 0.09 , (0.05),-38.46%, 210.00 ," 1,330.00 ",79.69%
CCL220826P00010000,2022-08-16 1:09PM EDT, 10.00 , 0.14 , 0.13 , 0.15 , (0.10),-41.67%, 811.00 ," 21,015.00 ",72.66%
CCL220826P00010500,2022-08-16 1:08PM EDT, 10.50 , 0.28 , 0.26 , 0.27 , (0.13),-31.71%, 568.00 , 808.00 ,71.29%
CCL220826P00011000,2022-08-16 1:17PM EDT, 11.00 , 0.46 , 0.46 , 0.47 , (0.23),-33.33%, 316.00 , 174.00 ,71.09%
CCL220826P00011500,2022-08-16 1:13PM EDT, 11.50 , 0.76 , 0.75 , 0.77 , (0.27),-26.21%, 38.00 , 108.00 ,73.83%
CCL220826P00012000,2022-08-16 12:40PM EDT, 12.00 , 1.17 , 1.11 , 1.13 , (0.30),-20.41%, 8.00 , 263.00 ,77.15%
CCL220826P00012500,2022-08-15 3:38PM EDT, 12.50 , 1.86 , 1.51 , 1.66 , -   ,-, 14.00 , 33.00 ,90.23%
CCL220826P00013000,2022-08-08 10:36AM EDT, 13.00 , 2.70 , 1.94 , 2.14 , -   ,-, 4.00 , 6.00 ,98.44%
CCL220826P00013500,2022-07-25 12:47PM EDT, 13.50 , 4.41 , 2.41 , 2.61 , -   ,-, - , 3.00 ,106.64%
CCL220826P00014000,2022-08-16 12:27PM EDT, 14.00 , 3.00 , 2.92 , 3.10 , (0.31),-9.37%, 70.00 , 10.00 ,119.14%
CCL220826P00014500,2022-08-04 10:18AM EDT, 14.50 , 4.65 , 3.35 , 3.60 , -   ,-, 5.00 , 6.00 ,123.05%
CCL220826P00015000,2022-08-15 10:45AM EDT, 15.00 , 4.40 , 3.85 , 4.10 , -   ,-, 1.00 , 4.00 ,133.59%
CCL220826P00016000,2022-08-15 10:12AM EDT, 16.00 , 5.40 , 4.85 , 5.10 , -   ,-, 1.00 , 27.00 ,153.52%
CCL220826P00017000,2022-08-04 9:30AM EDT, 17.00 , 6.98 , 5.80 , 6.10 , -   ,-, 2.00 , 3.00 ,164.06%
CCL220826P00018000,2022-08-08 11:19AM EDT, 18.00 , 7.55 , 6.80 , 7.10 , -   ,-, 5.00 , -   ,179.69%
