Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
CCL220902C00015500,2022-08-12 9:31AM EDT, 15.50 , 0.04 , 0.04 , 0.05 , -   ,-, 30.00 , 130.00 ,85.94%
CCL220902C00016000,2022-08-16 1:13PM EDT, 16.00 , 0.04 , 0.03 , 0.04 , 0.01 ,33.33%, 1.00 , 10.00 ,88.28%
CCL220902C00018000,2022-08-15 10:59AM EDT, 18.00 , 0.02 , 0.02 , 0.03 , -   ,-, 65.00 , 94.00 ,104.69%
"PutsforSeptember 2, 2022",,,,,,,,,,
Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
CCL220902P00003000,2022-08-05 11:29AM EDT, 3.00 , 0.02 , -   , 0.03 , -   ,-, 15.00 , 145.00 ,265.63%
CCL220902P00003500,2022-08-01 10:45AM EDT, 3.50 , 0.01 , -   , 0.03 , -   ,-, - ," 1,020.00 ",237.50%
CCL220902P00004000,2022-08-02 1:34PM EDT, 4.00 , 0.05 , -   , 0.03 , -   ,-, 1.00 , 39.00 ,209.38%
CCL220902P00004500,2022-08-04 3:45PM EDT, 4.50 , 0.02 , -   , 0.03 , -   ,-, 30.00 , 86.00 ,187.50%
CCL220902P00005000,2022-08-09 12:42PM EDT, 5.00 , 0.02 , -   , 0.03 , -   ,-," 1,695.00 "," 1,765.00 ",168.75%
CCL220902P00005500,2022-08-09 10:22AM EDT, 5.50 , 0.03 , -   , 0.03 , -   ,-, 1.00 , 227.00 ,150.00%
CCL220902P00006000,2022-08-12 9:48AM EDT, 6.00 , 0.01 , -   , 0.03 , -   ,-, 1.00 , 357.00 ,132.81%
CCL220902P00006500,2022-08-15 9:30AM EDT, 6.50 , 0.01 , -   , 0.03 , -   ,-, 2.00 , 136.00 ,117.19%
CCL220902P00007000,2022-08-16 9:58AM EDT, 7.00 , 0.03 , 0.01 , 0.03 , 0.01 ,50.00%, 1.00 , 368.00 ,107.81%
CCL220902P00007500,2022-08-16 11:16AM EDT, 7.50 , 0.04 , 0.02 , 0.03 , -   ,-, 1.00 , 642.00 ,96.88%
CCL220902P00008000,2022-08-16 11:28AM EDT, 8.00 , 0.05 , 0.04 , 0.05 , (0.01),-16.67%, 2.00 , 353.00 ,93.75%
CCL220902P00008500,2022-08-16 12:57PM EDT, 8.50 , 0.06 , 0.05 , 0.06 , (0.02),-25.00%, 3.00 , 780.00 ,83.59%
CCL220902P00009000,2022-08-16 1:20PM EDT, 9.00 , 0.09 , 0.08 , 0.09 , (0.04),-30.77%, 87.00 , 706.00 ,77.34%
CCL220902P00009500,2022-08-16 12:48PM EDT, 9.50 , 0.15 , 0.14 , 0.15 , (0.07),-31.82%, 57.00 , 776.00 ,74.61%
CCL220902P00010000,2022-08-16 1:06PM EDT, 10.00 , 0.26 , 0.23 , 0.25 , (0.08),-23.53%, 158.00 , 287.00 ,71.88%
CCL220902P00010500,2022-08-16 1:04PM EDT, 10.50 , 0.41 , 0.38 , 0.40 , (0.15),-26.79%, 37.00 , 217.00 ,70.70%
CCL220902P00011000,2022-08-16 1:19PM EDT, 11.00 , 0.60 , 0.60 , 0.62 , (0.20),-25.00%, 70.00 , 189.00 ,71.09%
CCL220902P00011500,2022-08-16 12:53PM EDT, 11.50 , 0.90 , 0.88 , 0.91 , (0.30),-25.00%, 19.00 , 159.00 ,72.46%
CCL220902P00012000,2022-08-15 10:18AM EDT, 12.00 , 1.62 , 1.21 , 1.25 , -   ,-, 1.00 , 17.00 ,73.44%
CCL220902P00012500,2022-08-16 10:57AM EDT, 12.50 , 2.08 , 1.58 , 1.66 , 0.15 ,7.77%, 15.00 , 2.00 ,75.98%
CCL220902P00013000,2022-08-16 11:51AM EDT, 13.00 , 2.40 , 2.02 , 2.08 , -   ,-, 8.00 , 25.00 ,79.69%
CCL220902P00013500,2022-08-10 11:54AM EDT, 13.50 , 3.00 , 2.48 , 2.54 , -   ,-, 10.00 , 7.00 ,85.16%
CCL220902P00014000,2022-08-10 11:27AM EDT, 14.00 , 3.55 , 2.95 , 3.05 , -   ,-, - , 1.00 ,93.75%
CCL220902P00014500,2022-07-28 3:44PM EDT, 14.50 , 5.45 , 3.40 , 3.50 , -   ,-, 1.00 , 2.00 ,93.75%
CCL220902P00015000,2022-07-25 11:07AM EDT, 15.00 , 6.00 , 3.90 , 4.05 , -   ,-, - , 1.00 ,107.03%
CCL220902P00015500,2022-08-03 10:39AM EDT, 15.50 , 5.90 , 4.40 , 4.50 , -   ,-, 1.00 , 1.00 ,110.16%
CCL220902P00017000,2022-08-12 10:10AM EDT, 17.00 , 6.30 , 5.90 , 6.00 , -   ,-, - , 1.00 ,131.25%
CCL220902P00018000,2022-07-25 10:35AM EDT, 18.00 , 8.96 , 6.90 , 7.00 , -   ,-, - , -   ,143.75%
